gene,LUSC_vs_LUAD
KRT6A,0.43909275486615335
KRT5,0.4881834683847335
DSG3,0.5724036342811217
CALML3,0.5061643574175603
XIST,0.11365422530091013
SFTPC,0.13961777681336274
KRT6B,0.4485340695603358
RPS4Y1,0.0521026484936139
KRT14,0.3627160825768563
KRT6C,0.4428774529200588
KRT13,0.36466399262339644
AKR1B10,0.26944199642256755
MAGEA4,0.3565005754314169
SPRR2A,0.45308064422723504
CLCA2,0.4616495627521757
SERPINB13,0.5047987556991125
KRT16,0.3350951734603132
SPRR3,0.4254733168168247
NTS,0.3132259869429451
DSC3,0.5001413736257225
SPRR1B,0.4374415388720114
XAGE1D,0.33889950079563763
DDX3Y,0.04110709433346038
PLUNC,0.16060601638392635
PGC,0.20138633396280553
ADH7,0.38902179731227715
UPK1B,0.38592856686779003
MAGEA6,0.05221747518504061
SFTPA1,0.17694859028870374
KDM5D,0.019290538299099103
SPRR1A,0.4294237406348357
SFTPA2,0.15662212822438715
SERPINB3,0.34006504387247444
A2ML1,0.41788482462787474
FGG,0.21734399381158537
SERPINB5,0.4063317519146917
MAGEA3,0.0437784988256813
SCGB1A1,0.0924992187743387
UGT1A6,0.2968153357448894
FGB,0.18010608678396678
SPRR2D,0.3903117934059014
RHCG,0.3557058848129366
MAGEA9B,0.3093614001415187
GSTM1,0.021499697785387795
PKP1,0.3504508292382875
S100A7,0.3238331495430233
PRAME,0.20142060153781022
GJB6,0.36074483163290105
USP9Y,0.0009655485582752976
LASS3,0.5174856805390848
SFTPB,0.21335904064137612
C20orf114,0.13163658696751412
MUC5B,0.20338834676848494
SPRR2E,0.374408080593946
LY6D,0.27945728123213376
GPX2,0.22447723507945277
FOXE1,0.38318833650425277
CLDN18,0.13813533263296374
TMPRSS11D,0.4167334022339078
FGA,0.20334795228894378
NAPSA,0.28559351486632994
BNC1,0.496738393634316
SPINK1,0.2556564300196362
DAPL1,0.3853705731665886
UGT1A7,0.34136880559723465
PADI3,0.3095379086189707
EIF1AY,0.01999758042844718
SERPINB4,0.32378086645821613
MAGEA2,0.0223054449484682
SCGB3A2,0.1805756495745116
UTY,0.0009338634212976982
LOC642587,0.4345717954365775
FAT2,0.4273924496962614
KRT17,0.281095906332982
SFTA2,0.3923965722876125
CYP4F11,0.16500571450644647
SFTA3,0.38395434655342786
PI3,0.31049649496138093
TP63,0.352375369260151
KIF1A,0.08254549194151112
LGALS7,0.32162694498239985
AKR1C2,0.11714787400838272
MUC21,0.3565346409176334
CALML5,0.3211195734369568
FAM83C,0.4390263442250973
PAEP,0.1542787621692562
MSLN,0.2565326327809415
SCGB3A1,0.1671256599794122
IVL,0.2347504777891457
C4BPA,0.2721665715566349
TRIM29,0.37641870355304646
CYP4F3,0.2412707216831399
GSTT1,0.029423932366633987
SBSN,0.3578755364487499
NTRK2,0.32196991423769983
UGT1A9,0.34933749438803074
ZFY,0.025523024126369365
MMP10,0.19670408205098316
FGL1,0.2562158630290693
UGT1A10,0.1899849011721202
DMBT1,0.12683821041937365
LGALS7B,0.3527495723100542
MUC13,0.19903045283715132
PTPRZ1,0.32891521416394814
GBP6,0.3518992801782808
LOC84740,0.2876873000022766
CYorf15A,0.00797101871321193
AQP4,0.18385265559222036
WIF1,0.05808626018515156
CEACAM5,0.07713577885612222
C16orf89,0.3109466749205536
TMPRSS11A,0.36019937237816296
BARX1,0.09690293590377325
SLC6A15,0.29069377612000724
MAGEA1,0.11748382883087025
ALDH3A1,0.1528333589670945
ODZ2,0.3602479293872761
MAGEA11,0.35247969742184976
GPR87,0.2881122274909234
SERPINB2,0.3582606096911442
HMGA2,0.19179887769623555
ADAM23,0.3183074761754646
TTTY15,5.4544590401550685e-06
VIL1,0.147914192303326
MUC16,0.010368158162065821
CTSE,0.20024074944859083
IGF2BP1,0.13143081388949562
C10orf99,0.4307386509371595
GKN2,0.170550673729775
NR0B1,0.04606059652401401
KLK8,0.2628363532525184
COL17A1,0.14222462302080613
MMP13,0.024316166786402582
CA9,0.09103022852938542
MAGEA12,0.059259512262603176
CAPNS2,0.418510494704732
PEBP4,0.19476706133795912
MSMB,0.046521145056231505
GJB5,0.45589794124572697
ADH1B,0.15560301363463108
CST1,0.0482800136732896
ANXA8,0.3519489320012204
CYP4B1,0.18281303027333629
PIGR,0.1756385026271987
PCSK2,0.05810751722401103
SLC34A2,0.233426198426412
HOXC10,0.14129194546561036
PPP2R2C,0.2872793884484556
HOXD13,0.3488008386807525
CALCA,0.13507456612308255
TCN1,0.013535668463478367
KRT4,0.1403315384756869
KLK6,0.19073719310378462
LGSN,0.34227080627507356
NELL1,0.046541292622797936
GSTA1,0.05400098842770684
AQP5,0.1781632852220128
SFTPD,0.18680554008583838
FOLR1,0.28339184091233255
CALB1,0.20492667265009415
C20orf85,0.14147265951575344
HBA1,0.08278056027487063
EEF1A2,0.032131382431569155
CYorf15B,0.022337279089583384
SLCO1B3,0.06544537911231263
FAM83B,0.40471295149161024
NKX2-1,0.36737303513173936
CACNA1B,0.3604626180921945
PTHLH,0.27554355128665464
S100A2,0.2454790715113392
PNCK,0.36964887190086343
HNF1B,0.42147553753964356
CPLX2,0.00810966367870522
BRDT,0.21133710343768958
COL11A1,0.08776979054983425
TFF1,0.12832997992988715
AKR1C1,0.08120900148337606
CLCA4,0.2859283738288997
KIAA0408,0.18589503859837794
KLK12,0.010908536973912863
WDR72,0.20483435163724717
PRKY,0.08069791917301306
