gene,LUSC_vs_LUAD
KRT6A,0.43606213003115846
KRT5,0.48346890316496094
DSG3,0.5876382589264231
CALML3,0.551320521584767
XIST,0.2348547854315519
SFTPC,0.11046563221423428
KRT6B,0.4424544787050187
RPS4Y1,0.2034823460437593
KRT14,0.4086773549879699
KRT6C,0.44601936813222365
KRT13,0.38825799002407235
AKR1B10,0.2979328136526396
MAGEA4,0.3340392714169673
SPRR2A,0.4206885299439036
CLCA2,0.4723636472496521
SERPINB13,0.4836318404942551
KRT16,0.3451728872166722
SPRR3,0.3574702794226233
NTS,0.2928499607348089
DSC3,0.49319049531067305
SPRR1B,0.3710803245768671
XAGE1D,0.351462620065667
DDX3Y,0.20400975464443122
PLUNC,0.1461595421905998
PGC,0.15052560022424133
ADH7,0.41981421294182836
UPK1B,0.31420890725677864
MAGEA6,0.17364227451734154
SFTPA1,0.12748879667389312
KDM5D,0.17573132857061685
SPRR1A,0.38870231764295704
SFTPA2,0.11642082482317417
SERPINB3,0.3201135015103316
A2ML1,0.4132343400837247
FGG,0.17056750909658536
SERPINB5,0.41191496345775497
MAGEA3,0.1552852842836319
SCGB1A1,0.01095838415197109
UGT1A6,0.33819927893326096
FGB,0.19316978299152673
SPRR2D,0.34557142084282233
RHCG,0.337097594111871
MAGEA9B,0.33273560328011015
GSTM1,0.0019009383564280724
PKP1,0.3489396116368338
S100A7,0.2836329285707819
PRAME,0.2000572141154442
GJB6,0.32372993952409534
USP9Y,0.16942079161533508
LASS3,0.5448650027605597
SFTPB,0.16930558530983364
C20orf114,0.08925684614023821
MUC5B,0.1850020666976661
SPRR2E,0.36920740875004504
LY6D,0.23503988625636682
GPX2,0.2684645239448098
FOXE1,0.35513761944227956
CLDN18,0.10734579801550898
TMPRSS11D,0.39416495848975214
FGA,0.17274742909791907
NAPSA,0.24137893548097755
BNC1,0.4676415722700371
SPINK1,0.24184983009024466
DAPL1,0.39930041319834186
UGT1A7,0.34034173668838036
PADI3,0.31598637772146027
EIF1AY,0.16360290420351387
SERPINB4,0.3009001343968939
MAGEA2,0.08444019165722427
SCGB3A2,0.11940111274361748
UTY,0.17524470981947154
LOC642587,0.42565701617329266
FAT2,0.3918434396689711
KRT17,0.2838897684370802
SFTA2,0.33860679217802175
CYP4F11,0.20447460498172132
SFTA3,0.32186464391231273
PI3,0.28122460131018895
TP63,0.3540891225741789
KIF1A,0.04273608938431667
LGALS7,0.33558570035090074
AKR1C2,0.19995636174842968
MUC21,0.3036783341491534
CALML5,0.2823392760000215
FAM83C,0.4390820939703953
PAEP,0.18895437545595478
MSLN,0.20000488482048512
SCGB3A1,0.1266213919679361
IVL,0.20964990000683087
C4BPA,0.21142410989846916
TRIM29,0.3520942048700976
CYP4F3,0.26481666853076063
GSTT1,0.044835194786599586
SBSN,0.30370312439717495
NTRK2,0.3129585353762002
UGT1A9,0.36653682974358076
ZFY,0.17452935321901208
MMP10,0.21835591225099477
FGL1,0.23562418837581833
UGT1A10,0.16315007331505732
DMBT1,0.09462296901198558
LGALS7B,0.31670886253533503
MUC13,0.17351293699856293
PTPRZ1,0.3126979911809718
GBP6,0.35565372763770703
LOC84740,0.24328203390536046
CYorf15A,0.1667585526589948
AQP4,0.13036713046827386
WIF1,0.03620861879170484
CEACAM5,0.13273891802180865
C16orf89,0.24441978073194642
TMPRSS11A,0.3735847350332422
BARX1,0.067797087699219
SLC6A15,0.3157876847535275
MAGEA1,0.16014201265866065
ALDH3A1,0.18798046948425406
ODZ2,0.3275474924827857
MAGEA11,0.31023942870310184
GPR87,0.29267587095595704
SERPINB2,0.3355840047557587
HMGA2,0.20071586160815424
ADAM23,0.35367097799475167
TTTY15,0.15253007136461433
VIL1,0.17082994999361878
MUC16,0.13724791363392203
CTSE,0.14638776248099794
IGF2BP1,0.1124824912150783
C10orf99,0.41000865371320394
GKN2,0.11712826427953954
NR0B1,0.12237843787652697
KLK8,0.20866909633823094
COL17A1,0.18216647124033714
MMP13,0.037608118721157435
CA9,0.11458131358886497
MAGEA12,0.038490285562822635
CAPNS2,0.3928524062334383
PEBP4,0.1360120971794983
MSMB,0.03729664070619382
GJB5,0.41701563115931356
ADH1B,0.11888953523265111
CST1,0.003850914761745372
ANXA8,0.3145845850927044
CYP4B1,0.14216388383578893
PIGR,0.15726717675016738
PCSK2,0.042802562808258615
SLC34A2,0.21145386915905395
HOXC10,0.08617116502899841
PPP2R2C,0.2517446762095211
HOXD13,0.34071783453204546
CALCA,0.10575380133968919
TCN1,0.0025460325040231324
KRT4,0.10509878802162381
KLK6,0.14351594774916393
LGSN,0.34561306267928976
NELL1,0.07907621982755311
GSTA1,0.09813726625843694
AQP5,0.1609992597437216
SFTPD,0.1398025933623771
FOLR1,0.25773134440675316
CALB1,0.17668719740058103
C20orf85,0.07831815463305947
HBA1,0.0573220087119809
EEF1A2,0.06917067608876615
CYorf15B,0.11716365171028215
SLCO1B3,0.07021606898267657
FAM83B,0.3783340628614514
NKX2-1,0.30775892719110187
CACNA1B,0.32863677394720153
PTHLH,0.27043423201620825
S100A2,0.24865346736649274
PNCK,0.3352933756551235
HNF1B,0.3844074053238592
CPLX2,0.006274679345054823
BRDT,0.12505318857864214
COL11A1,0.05745355718840284
TFF1,0.1099536620468988
AKR1C1,0.1670731010314213
CLCA4,0.29033111500110154
KIAA0408,0.16235815649975643
KLK12,0.014825929624431827
WDR72,0.26871811300094495
PRKY,0.17489419257076483
BPIL1,0.12324077835470718
SLC6A4,0.014568071060590604
SOX2,0.21871602900094428
C4orf7,0.04179111037986416
COL7A1,0.267999714615902
MS4A15,0.14051081998710763
PAX7,0.04491382297010113
SOST,0.23352883865747848
HOXB13,0.06800345585809783
CYP2B7P1,0.19425799464910165
CNTNAP2,0.21011370004093005
GDA,0.2757046057494138
NEFL,0.19428779662442444
HP,0.04908136495117604
HGD,0.2570466266424106
IL1F5,0.1984070717252605
HOXB9,0.04410401305308481
B3GNT6,0.30322848668404734
CYP24A1,0.07743106997139937
S100A7A,0.2636258261083252
KRT31,0.28074469202420543
SOSTDC1,0.23228401180678865
MS4A8B,0.08942978139171931
CHIA,0.2382299101585182
GJB1,0.24393759230583323
ADH1C,0.010986090745251254
HORMAD1,0.016544681385215032
AGTR2,0.051367406885262645
SYT13,0.02112752298070425
CT45A1,0.1283381121114936
KRT23,0.21770254009826084
KLK7,0.14586930112631236
CPS1,0.08958546167510911
CAPN8,0.32821144527847296
CPB2,0.151925172959407
KRTDAP,0.2632255859102017
KRT15,0.22374957072949458
IRX4,0.3018591575089514
CHST9,0.14313380974658868
IL1F9,0.26911304850649165
KRT75,0.2564304141785223
CSAG3,0.13080086240796543
LGI3,0.10722505413923106
AZGP1,0.16093523913770036
SERPINB7,0.28365539411871143
C20orf56,0.21095009192444997
AGR3,0.18427464077850964
CXorf61,0.16958622497211603
TOX3,0.32302935696302154
AGER,0.07918214701727155
DLX6,0.2700002366408865
FBN2,0.22757019986666416
COL4A6,0.2820947015634158
AMY1A,0.1573894642638784
HOXD11,0.36665804735154417
PITX2,0.0011368007954629666
GABRA3,0.3170476593849565
HOXC13,0.25541164952955625
APOH,0.21710612082086717
TM4SF4,0.17763072843549357
S100P,0.09235377952407775
LMO3,0.24271902480636381
CTAG1B,0.0731251232614187
SOX21,0.2580850426113792
ASCL1,0.055960442182223125
PITX1,0.22561571494780186
ZIC2,0.2766110434859301
MAGEB2,0.1322575339001859
GLB1L3,0.2017217667792729
CSAG1,0.04166662937459134
GGTLC1,0.25761742524165365
MAGEA10,0.12365185643354251
ERN2,0.1389627891430688
PPP1R14D,0.3002576393871882
AKR1B15,0.18715549215688695
AMTN,0.22404756484722643
ALOX15,0.07358724413059636
