gene,LUSC_vs_LUAD
KRT6A,0.43290809401904207
KRT5,0.4798594003646468
DSG3,0.5805964032330788
CALML3,0.5459298417232442
XIST,0.20902264225932554
SFTPC,0.1205355263648818
KRT6B,0.4301787991569007
RPS4Y1,0.1810260304344286
KRT14,0.39632926291057324
KRT6C,0.4387033139762303
KRT13,0.38444906384923727
AKR1B10,0.26440289295419667
MAGEA4,0.3381357234610578
SPRR2A,0.4237451080575068
CLCA2,0.45913272483758033
SERPINB13,0.4891052938871264
KRT16,0.34306857767127186
SPRR3,0.34737404251280324
NTS,0.2903653157852377
DSC3,0.4942968348712639
SPRR1B,0.35966987478644363
XAGE1D,0.3196761912707198
DDX3Y,0.19047506394950536
PLUNC,0.1446627698679262
PGC,0.1740771984017524
ADH7,0.40007371735922875
UPK1B,0.3321226160244265
MAGEA6,0.20779032772265318
SFTPA1,0.13922331101276963
KDM5D,0.16935991051731636
SPRR1A,0.37563526869201885
SFTPA2,0.1266137086770368
SERPINB3,0.3128409507156348
A2ML1,0.4059333933101307
FGG,0.1748805646143936
SERPINB5,0.40513744222633896
MAGEA3,0.1828379473109449
SCGB1A1,0.04687637857541227
UGT1A6,0.2996375772874087
FGB,0.1985506280447283
SPRR2D,0.33993906552831715
RHCG,0.33884074077298587
MAGEA9B,0.3603925139294061
GSTM1,0.022623062249661652
PKP1,0.3519935394495484
S100A7,0.28807667674118576
PRAME,0.2289214762554428
GJB6,0.33187802884145784
USP9Y,0.1638631920344566
LASS3,0.5458090070941211
SFTPB,0.1757719349389798
C20orf114,0.09757983906501638
MUC5B,0.18387836040643624
SPRR2E,0.35785577568071625
LY6D,0.2237968032243522
GPX2,0.21623023859079138
FOXE1,0.3809463574302194
CLDN18,0.1118722108044159
TMPRSS11D,0.3888283887558149
FGA,0.17969574892795143
NAPSA,0.24321126323436437
BNC1,0.48262260528852324
SPINK1,0.26653695223542284
DAPL1,0.4002019209728419
UGT1A7,0.32531793555763927
PADI3,0.30647389877007775
EIF1AY,0.15194675532400548
SERPINB4,0.29639620489881635
MAGEA2,0.1363279482722982
SCGB3A2,0.12052757178072987
