gene,BRCA_vs_KIRC,BRCA_vs_LUAD,BRCA_vs_PRAD,BRCA_vs_COAD,KIRC_vs_LUAD,KIRC_vs_PRAD,KIRC_vs_COAD,LUAD_vs_PRAD,LUAD_vs_COAD,PRAD_vs_COAD
gene_9176,0.027335939135758595,0.039819972222251206,0.8309265495658061,0.1127088027226707,0.012484033086492612,0.8582624887015647,0.1400447418584293,0.8707465217880573,0.1525287749449219,0.7182177468431354
gene_9175,0.060915303393271225,0.020245351701138954,0.8410559976682641,0.01335752005269758,0.04066995169213227,0.9019713010615353,0.047557783340573645,0.8613013493694031,0.006887831648441374,0.8544135177209616
gene_15898,0.01884834847339459,0.7345152980380475,0.03889818187523965,0.02541958370094391,0.753363646511442,0.02004983340184506,0.0442679321743385,0.7734134799132871,0.7090957143371035,0.06431776557618356
gene_15301,0.6357423478727126,0.4279342348509995,0.8271638986765114,0.5747335488164149,0.20780811302171304,0.19142155080379886,0.061008799056297636,0.3992296638255119,0.1467993139654154,0.2524303498600965
gene_15589,0.43362022295808644,0.48491304143377617,0.47886017449593504,0.48491304143377617,0.05129281847568975,0.045239951537848606,0.05129281847568975,0.006052866937841144,0.0,0.006052866937841144
gene_3540,0.3052642898031651,0.3182500900362863,0.12354192179519102,0.5406898229873403,0.6235143798394515,0.1817223680079741,0.8459541127905054,0.4417920118314773,0.2224397329510539,0.6642317447825312
gene_19661,0.438404850434466,0.3698412738149865,0.7115143239698443,0.5470675268735373,0.06856357661947948,0.2731094735353783,0.10866267643907138,0.34167305015485777,0.17722625305855086,0.1644467970963069
gene_3541,0.43619919009985136,0.3126342172583562,0.21810736020326255,0.3125064603700359,0.7488334073582076,0.21809182989658882,0.7487056504698872,0.5307415774616188,0.0001277568883203406,0.5306138205732984
gene_11250,0.1839306936263462,0.15811965170106018,0.4680702056373876,0.18864031153008054,0.3420503453274064,0.6520008992637338,0.00470961790373433,0.3099505539363274,0.3467599632311407,0.6567105171674681
gene_15897,0.11230286345673322,0.5419076636948765,0.31564524018913437,0.01891427112810859,0.6542105271516098,0.4279481036458676,0.1312171345848418,0.22626242350574222,0.522993392566768,0.2967309690610258
gene_439,0.5773142396579685,0.12020710932901246,0.02994673973362172,0.15045524026586354,0.6975213489869809,0.6072609793915902,0.7277694799238319,0.09026036959539074,0.03024813093685108,0.12050850053224182
gene_8014,0.07241895872737039,0.001052093799824072,0.6398514772011639,0.2839519141417097,0.07136686492754632,0.7122704359285342,0.3563708728690801,0.6409035710009879,0.2850040079415338,0.35589956305945414
gene_15896,0.006915326084378656,0.6760028623172647,0.05199566788767475,0.009014368217236432,0.6690875362328861,0.04508034180329609,0.015929694301615088,0.62400719442959,0.6850172305345011,0.06101003610491118
gene_4773,0.7125852527640824,0.4756411397323915,0.8366616326343239,0.5966248744861288,0.23694411303169083,0.12407637987024156,0.11596037827795358,0.3610204929019324,0.12098373475373725,0.24003675814819514
gene_19236,0.7908176397213216,0.12320847898496964,0.0014673963925950495,0.7968902146896024,0.6676091607363519,0.7922850361139165,0.006072574968280842,0.1246758753775647,0.6736817357046327,0.7983576110821974
