gene,BRCA_vs_KIRC,BRCA_vs_LUAD,BRCA_vs_PRAD,BRCA_vs_COAD,KIRC_vs_LUAD,KIRC_vs_PRAD,KIRC_vs_COAD,LUAD_vs_PRAD,LUAD_vs_COAD,PRAD_vs_COAD
gene_9176,0.040525219442474114,0.056735341882202195,0.8167598502999571,0.06544134365751868,0.016210122439728077,0.8572850697424312,0.10596656309999279,0.8734951921821593,0.12217668553972087,0.7513185066424385
gene_9175,0.07596605847321246,0.04509387340469533,0.8213606217348209,0.052967354734991666,0.030872185068517122,0.8973266802080334,0.02299870373822079,0.8664544951395163,0.007873481330296334,0.8743279764698126
gene_15898,0.01225500795944403,0.7227048092504594,0.024064799125081117,0.0061097528580684665,0.7349598172099034,0.011809791165637087,0.018364760817512496,0.7467696083755405,0.716595056392391,0.030174551983149583
gene_15301,0.4859816670595599,0.4211877546388931,0.8309373167377568,0.4191499104336975,0.06479391242066684,0.3449556496781969,0.06683175662586244,0.40974956209886376,0.0020378442051955936,0.41178740630405936
gene_15589,0.5081658629583347,0.5342046285415881,0.5296102061712074,0.536605020882374,0.02603876558325342,0.021444343212872655,0.02843915792403936,0.004594422370380767,0.002400392340785939,0.006994814711166706
gene_3540,0.3261839526682869,0.3412994784903591,0.1144565456855936,0.5442873278972848,0.667483431158646,0.2117274069826933,0.8704712805655718,0.4557560241759527,0.20298784940692582,0.6587438735828786
gene_19661,0.35174128954575273,0.3772074137426222,0.7080969983279475,0.39101814360216375,0.025466124196869444,0.3563557087821947,0.039276854056411015,0.33088958458532525,0.01381072985954157,0.3170788547257837
gene_3541,0.43739578941704316,0.3248417853754331,0.19966392313276454,0.309539172866461,0.7622375747924763,0.23773186628427861,0.7469349622835042,0.5245057085081977,0.015302612508972135,0.5092030959992255
gene_11250,0.1956319563060143,0.11235456562410992,0.5009550012798507,0.18383593941617996,0.3079865219301242,0.696586957585865,0.011796016889834334,0.3886004356557408,0.2961905050402899,0.6847909406960306
gene_15897,0.1050797888112886,0.5665398423849872,0.33959562402374494,0.051242863893545765,0.6716196311962759,0.44467541283503353,0.15632265270483436,0.22694421836124234,0.5152969784914415,0.28835276013019917
gene_439,0.5937672366605792,0.07663843529513692,0.05198110990142013,0.11338742350229292,0.6704056719557161,0.6457483465619993,0.7071546601628721,0.02465732539371679,0.036748988207156,0.061406313600872786
gene_8014,0.12093977514160387,0.007024286921519685,0.6731909574389643,0.3328904068940942,0.11391548822008418,0.7941307325805681,0.453830182035698,0.680215244360484,0.3399146938156139,0.3403005505448701
gene_15896,0.002997305280640343,0.6774874545183429,0.07255315887603522,0.0009092070350960289,0.6804847597989833,0.07555046415667556,0.002088098245544314,0.6049342956423077,0.6783966615534389,0.07346236591113124
gene_4773,0.5428433460806341,0.4503106362614012,0.8541336471760252,0.43937773115343026,0.0925327098192329,0.31129030109539113,0.10346561492720385,0.403823010914624,0.010932905107970958,0.414755916022595
gene_19236,0.7723616363325957,0.10066704529494623,0.01070207870178376,0.7869180867651738,0.6716945910376495,0.7830637150343794,0.014556450432578139,0.11136912399672999,0.6862510414702276,0.7976201654669576
gene_16283,0.06528282550280706,0.4347754067049896,0.13131175158688196,0.30339765847483763,0.36949258120218254,0.19659457708968903,0.3686804839776447,0.5660871582918716,0.7381730651798272,0.17208590688795566
gene_9177,0.24907629860301161,0.20065384636198244,0.5201266435411402,0.15371730264306288,0.04842245224102919,0.7692029421441519,0.09535899595994875,0.7207804899031226,0.04693654371891956,0.6738439461842031
gene_3461,0.7056740695716163,0.0976474629831752,0.002774882664981382,0.6811678748528419,0.6080266065884411,0.7028991869066349,0.024506194718774355,0.09487258031819382,0.5835204118696667,0.6783929921878605
gene_8891,0.4848830048409622,0.42511031973264224,0.8516657209558646,0.4134264005464961,0.059772685108319956,0.3667827161149023,0.0714566042944661,0.4265554012232223,0.011683919186146141,0.4382393204093684
gene_2844,0.584484224808027,0.17592010234712982,0.17858869207717298,0.32952205639267607,0.4085641224608972,0.7630729168852,0.2549621684153509,0.3545087944243028,0.15360195404554627,0.508110748469849
gene_12069,0.0126147040244268,0.015036200242589483,0.6446489457705862,0.011764310693315252,0.02765090426701628,0.6572636497950131,0.02437901471774205,0.6296127455279967,0.0032718895492742303,0.632884635077271
gene_7965,0.6669961614023218,0.21108952453674965,0.018366369948260623,0.8335621835663312,0.4559066368655721,0.6486297914540611,0.1665660221640094,0.19272315458848902,0.6224726590295815,0.8151958136180706
gene_6410,0.21967927439218538,0.44922389400995816,0.04260052804392596,0.04872486758949007,0.22954461961777278,0.2622798024361114,0.26840414198167545,0.4918244220538841,0.49794876159944823,0.006124339545564111
gene_11550,0.323472708322012,0.6688283598607238,0.029290085376573655,0.027361978002701376,0.3453556515387118,0.29418262294543834,0.2961107303193106,0.6395382744841501,0.6414663818580224,0.0019281073738722787
