gene,BRCA_vs_KIRC,BRCA_vs_LUAD,BRCA_vs_PRAD,BRCA_vs_COAD,KIRC_vs_LUAD,KIRC_vs_PRAD,KIRC_vs_COAD,LUAD_vs_PRAD,LUAD_vs_COAD,PRAD_vs_COAD
gene_9176,0.04126767763870617,0.05198724438655682,0.8247701449564269,0.0739358342153926,0.010719566747850658,0.866037822595133,0.11520351185409877,0.8767573893429836,0.12592307860194943,0.7508343107410342
gene_9175,0.06864193322491781,0.041040532626525905,0.8293000244239983,0.0307775960612056,0.0276014005983919,0.8979419576489162,0.03786433716371221,0.8703405570505243,0.010262936565320305,0.8600776204852039
gene_15898,0.0005338423560377753,0.7178744874193302,0.015943403475798507,0.015438563953956534,0.7173406450632925,0.016477245831836282,0.014904721597918759,0.7338178908951288,0.7024359234653738,0.03138196742975504
gene_15301,0.5246198868032673,0.37336342450861565,0.8302451789443431,0.41618915503477394,0.15125646229465167,0.3056252921410758,0.10843073176849338,0.4568817544357275,0.04282573052615829,0.4140560239095692
gene_15589,0.49461290384758116,0.5187956582606423,0.5157638941614764,0.5221726301896928,0.024182754413061246,0.021150990313895286,0.027559726342111707,0.0030317640991659595,0.0033769719290504593,0.006408736028216419
gene_3540,0.3403185140841534,0.2993596614562641,0.12902188094486391,0.5280641610775525,0.6396781755404175,0.2112966331392895,0.868382675161706,0.428381542401128,0.22870449962128847,0.6570860420224165
gene_19661,0.3829124369252149,0.3198541785696905,0.6956822397460789,0.4048369886625525,0.06305825835552442,0.312769802820864,0.021924551737337594,0.37582806117638834,0.08498281009286202,0.2908452510835263
gene_3541,0.446040191266012,0.28732760023965737,0.19923524797345787,0.29894618121854427,0.7333677915056693,0.24680494329255412,0.7449863724845562,0.48656284821311524,0.011618580978886905,0.49818142919200215
gene_11250,0.22046200487589043,0.08312474664141636,0.5025357468412982,0.2077878901029928,0.3035867515173068,0.7229977517171886,0.012674114772897618,0.41941100019988187,0.29091263674440915,0.710323636944291
gene_15897,0.1000157286916349,0.5512278332444907,0.3449255160237048,0.07230779999904649,0.6512435619361255,0.4449412447153397,0.1723235286906814,0.2063023172207859,0.4789200332454442,0.2726177160246583
gene_439,0.588420888001825,0.055085732805191356,0.04387493039202872,0.1023014170462998,0.6435066208070164,0.6322958183938537,0.6907223050481248,0.011210802413162635,0.047215684241108447,0.05842648665427108
gene_8014,0.11680056774103245,0.041764349682083785,0.6709492568045714,0.30564388326855396,0.07503621805894867,0.7877498245456038,0.4224444510095864,0.7127136064866552,0.3474082329506377,0.36530537353601744
gene_15896,0.0007181281280049696,0.6586718389095694,0.07689586682578324,0.0036709920639683633,0.6579537107815644,0.07617773869777827,0.0029528639359633936,0.5817759720837861,0.655000846845601,0.07322487476181488
gene_4773,0.5862215046977087,0.3974615473204802,0.8448228301320949,0.4404532520343308,0.18875995737722856,0.2586013254343862,0.145768252663378,0.44736128281161475,0.042991704713850554,0.4043695780977642
gene_19236,0.7759559918311643,0.1473500501170346,0.005445616477146795,0.790451952659989,0.6286059417141296,0.7814016083083111,0.014495960828824761,0.15279566659418137,0.6431019025429544,0.7958975691371358
gene_16283,0.0801679745556601,0.438659520869673,0.0991995324009588,0.28711795785334004,0.3584915463140129,0.1793675069566189,0.36728593240900015,0.5378590532706318,0.725777478723013,0.18791842545238124
gene_9177,0.23872155420140173,0.2111642629721369,0.5354254437351672,0.13626028437657506,0.027557291229264855,0.7741469979365689,0.10246126982482669,0.7465897067073041,0.07490397859556183,0.6716857281117423
gene_3461,0.711469148075466,0.10655727771128222,0.0022877101435646724,0.6707164923930317,0.6049118703641838,0.7137568582190308,0.04075265568243436,0.10884498785484689,0.5641592146817495,0.6730042025365963
gene_8891,0.5250946750514044,0.3821906907986992,0.8420810261042971,0.4207841716784229,0.14290398425270517,0.31698635105289275,0.10431050337298148,0.4598903353055979,0.038593480879723696,0.4212968544258742
gene_2844,0.5941786485791493,0.21828706813384233,0.15882457928315888,0.366128880789782,0.3758915804453069,0.7530032278623081,0.22804976778936725,0.3771116474170012,0.14784181265593965,0.5249534600729409
gene_12069,0.007034263612851574,0.02135194271817104,0.6343023156338662,0.02376074102672941,0.028386206331022613,0.6413365792467177,0.030795004639580983,0.6129503729156951,0.00240879830855837,0.6105415746071368
gene_7965,0.6756297093778425,0.2315242945946752,0.013634634585400936,0.8206742823552152,0.44410541478316734,0.6619950747924416,0.14504457297737272,0.21788966000927426,0.5891499877605401,0.8070396477698143
gene_6410,0.23235666114048256,0.43991625756238595,0.05636155666491066,0.04945300081796418,0.20755959642190341,0.2887182178053932,0.28180966195844676,0.49627781422729667,0.48936925838035017,0.006908555846946485
gene_11550,0.3014906069565116,0.6417111559150693,0.02592835592679399,0.020722847789938686,0.34022054895855774,0.2755622510297176,0.2807677591665729,0.6157827999882753,0.6209883081251306,0.0052055081368553024
gene_10266,0.22657216901754318,0.13770961318771174,0.37984335336259395,0.4904430177226976,0.3642817822052549,0.6064155223801371,0.7170151867402408,0.2421337401748822,0.3527334045349858,0.11059966436010363
gene_11355,0.29371423123091844,0.1870531210989005,0.23248256272436152,0.1957508694821687,0.48076735232981893,0.0612316685065569,0.48946510071308713,0.419535683823262,0.0086977483832682,0.4282334322065302
gene_13517,0.19598558724903012,0.02467369695940136,0.4255640112611975,0.24056255710441665,0.17131189028962876,0.6215495985102276,0.4365481443534468,0.45023770822059883,0.265236254063818,0.18500145415678082
gene_18810,0.03216133526986517,0.36628449488593917,0.5000302609728411,0.6740945847273493,0.33412315961607403,0.46786892570297595,0.6419332494574841,0.13374576608690192,0.3078100898414101,0.1740643237545082
gene_7964,0.8166116413173334,0.6257088532042266,0.48207764014852916,0.6610561168661461,0.1909027881131068,0.3345340011688043,0.15555552445118737,0.14363121305569748,0.035347263661919426,0.1789784767176169
gene_18745,0.060551173313435014,0.20394236550930467,0.7355635065795441,0.04523347318919105,0.14339119219586965,0.6750123332661091,0.10578464650262606,0.5316211410702394,0.24917583869849572,0.7807969797687352
gene_13298,0.05545499195104432,0.37299362819844994,0.3523216550961673,0.07142839260665514,0.42844862014949425,0.4077766470472116,0.12688338455769946,0.020671973102282637,0.3015652355917948,0.2808932624895122
gene_3843,0.645264706120642,0.3074092480748587,0.04640770328308205,0.5703049762706931,0.33785545804578326,0.6916724094037241,0.07495972984994892,0.3538169513579408,0.26289572819583434,0.6167126795537752
gene_3439,0.7333125373371381,0.08993829348312721,0.007222650787580229,0.16425158782782684,0.6433742438540109,0.7260898865495579,0.5690609495093113,0.08271564269554699,0.07431329434469962,0.1570289370402466
gene_12320,0.1883387289689837,0.13268504590113347,0.19622838417299554,0.4182549520107805,0.055653683067850235,0.3845671131419792,0.6065936809797642,0.328913430074129,0.550939997911914,0.22202656783778496
gene_13462,0.4324481942080703,0.3025294509395727,0.2561178076434262,0.45765712628405814,0.12991874326849762,0.17633038656464411,0.025208932075987855,0.0464116432961465,0.15512767534448546,0.20153931864063196
gene_19296,0.47083370895057847,0.3258096703131071,0.8032386371582908,0.32182210816077506,0.14502403863747138,0.3324049282077124,0.1490116007898034,0.47742896684518377,0.003987562152332036,0.4814165289975158
gene_17920,0.43877459030046506,0.2448930818267797,0.10791028934250801,0.06613803267166618,0.19388150847368535,0.33086430095795705,0.5049126229721312,0.1369827924842717,0.3110311144984459,0.1740483220141742
gene_19373,0.43303777560387186,0.3029520912282641,0.021155652516628903,0.8024718728689457,0.13008568437560775,0.45419342812050073,0.3694340972650739,0.324107743744893,0.49951978164068167,0.8236275253855747
gene_6733,0.6785523390477174,0.1175618647236807,0.010531504338977274,0.04617377598072604,0.5609904743240367,0.6680208347087402,0.6323785630669914,0.10703036038470343,0.07138808874295466,0.03564227164174877
gene_19148,0.6756375153281924,0.2979877541337047,0.19480255464021254,0.3671870888324589,0.3776497611944877,0.4808349606879799,0.3084504264957335,0.1031851994934922,0.06919933469875417,0.17238453419224636
gene_19153,0.7735048243659762,0.020281145068304626,0.016682463718701267,0.392824061098717,0.7532236792976716,0.7568223606472749,0.38068076326725925,0.0035986813496033596,0.37254291603041234,0.37614159738001574
gene_203,0.06424992004046848,0.10646901690608063,0.5944534542760329,0.0680628788632951,0.1707189369465491,0.6587033743165014,0.13231279890376357,0.48798443736995223,0.03840613804278553,0.5263905754127378
gene_4866,0.09125267872274548,0.14118122886876014,0.5444480817375983,0.2917233844075362,0.04992855014601466,0.45319540301485284,0.20047070568479075,0.4032668528688382,0.1505421555387761,0.2527246973300621
gene_440,0.6167152337687195,0.0229851142138765,0.24922333292750537,0.05258407545285826,0.593730119554843,0.36749190084121414,0.5641311583158612,0.22623821871362887,0.029598961238981758,0.1966392574746471
gene_12995,0.11343119764019648,0.014290949661185331,0.7509256173156195,0.021316276163509368,0.09914024797901115,0.6374944196754231,0.09211492147668711,0.7366346676544342,0.007025326502324038,0.7296093411521102
gene_15899,0.005351882151542986,0.5509004365683844,0.007632749817105738,0.005347710772573273,0.5562523187199273,0.012984631968648724,4.171378969713112e-06,0.5432676867512787,0.5562481473409576,0.012980460589679011
gene_16342,0.7118663060712029,0.009057279874485485,0.11481826912213483,0.32957968336933036,0.7028090261967175,0.5970480369490682,0.38228662270187264,0.10576098924764935,0.32052240349484484,0.21476141424719553
gene_11388,0.2756813108781497,0.17428271343707843,0.4430516263581878,0.11907051920479028,0.10139859744107124,0.7187329372363375,0.1566107916733594,0.6173343397952662,0.05521219423228815,0.5621221455629781
gene_17905,0.4662220587190709,0.49074626969019125,0.5105532771848549,0.5343123750766323,0.024524210971120328,0.04433121846578394,0.06809031635756141,0.01980700749466361,0.04356610538644108,0.02375909789177747
gene_11249,0.05944420475974213,0.43027806093367493,0.02199212067558487,0.33780531055014107,0.3708338561739328,0.03745208408415726,0.2783611057903989,0.40828594025809006,0.09247275038353386,0.3158131898745562
gene_219,0.7760036036381186,0.004706154070363658,0.013824175365039802,0.004884038073817097,0.7807097577084823,0.7621794282730788,0.7808876417119357,0.01853032943540346,0.0001778840034534386,0.018708213438856897
gene_4476,0.3585009961166246,0.36941018181442736,0.04557765278615733,0.21797167958056715,0.727911177931052,0.3129233433304673,0.14052931653605746,0.4149878346005847,0.5873818613949945,0.17239402679440982
